character,pinyin,english,hsk
爱,ài,to love,1
八,bā,8,1
爸爸,bà ba,dad,1
北京,Běi jīng,Beijing,1
杯子,bēi zi,"cup, glass",1
本,běn,"root, basis, foundation, origin, capital Measure, for books, files, etc.",1
不,bù,"no, not",1
不客气,bú kè qi,you are welcome,1
菜,cài,"dish, vegetable",1
茶,chá,tea,1
吃,chī,to eat,1
出租车,chū zū chē,taxi,1
大,dà,"big, great",1
打电话,dǎ diàn huà,to make a phone call,1
的,de,to form an attribute,1
点,diǎn,"point, dot, to nod, to click Measure, a little, a bit",1
电脑,diàn nǎo,computer,1
电视,diàn shì,TV(-set),1
电影,diàn yǐng,"movie, film",1
东西,dōng xi,thing,1
都,dōu,"all, both, all, both",1
读,dú,to read aloud,1
对不起,duì bu qǐ,"sorry, I'm sorry",1
多,duō,"much, many",1
多少,duō shao,"how many, how much",1
二,èr,2,1
儿子,ér zi,son,1
饭馆,fàn guǎn,restaurant,1
飞机,fēi jī,airplane,1
分钟,fēn zhōng,minute,1
高兴,gāo xìng,"happy, glad, cheerful",1
个,gè,"Measure, for almost everything",1
工作,gōng zuò,"job, to work",1
狗,gǒu,dog,1
汉语,hàn yǔ,Chinese language,1
好,hǎo,"good, nice",1
和,hé,"with, and",1
喝,hē,to drink,1
很,hěn,"very, quite",1
后面,hòu miàn,"rear, back, behind",1
回,huí,"to return, to answer, to reply Measure, for events of action",1
会,huì,"meeting, conference Auxiliary, can, to be able to",1
火车站,huǒ chē zhàn,train station,1
几,jǐ,"how many, several",1
家,jiā,"family, home, houshold Measure, for businesses, families",1
叫,jiào,"to be called, to call, to shout",1
今天,jīn tiān,today,1
九,jiǔ,9,1
开,kāi,"to open, to start, to drive (car, etc.)",1
看,kàn,"to see, to watch, to look at",1
看见,kàn jiàn,"to see, to catch sight of",1
块,kuài,"Measure, for a piece",1
来,lái,"to come, to arrive, ever since",1
老师,lǎo shī,teacher,1
了,le,indicating past or change,1
冷,lěng,cold,1
里,lǐ,"in, inside Measure, for 0.5 km",1
零,líng,0,1
六,liù,6,1
吗,ma,to form a question,1
妈妈,mā ma,mother,1
买,mǎi,to buy,1
猫,māo,cat,1
没,méi,not,1
没关系,méi guān xi,it doesn't matter,1
米饭,mǐ fàn,(cooked) rice,1
明天,míng tiān,tomorrow,1
名字,míng zi,name,1
那,nà,that,1
哪,nǎ,which,1
呢,ne,to build a question based on already mentioned subjects,1
能,néng,"Auxiliary, to be able to",1
你,nǐ,you (singular),1
年,nián,year,1
女儿,nǚ ér,daughter,1
朋友,péng you,friend,1
漂亮,piào liang,"pretty, beautiful",1
苹果,píng guǒ,apple,1
七,qī,7,1
钱,qián,money,1
前面,qián miàn,"ahead, in front",1
请,qǐng,"to ask, to invite, please",1
去,qù,to go,1
热,rè,"hot, warm",1
人,rén,"person, people",1
认识,rèn shi,"understanding, knowledge, awareness, to know, to recognize, to understand, to be familiar with",1
日,rì,"day, sun",1
三,sān,3,1
上,shàng,"to go up, to attend, to climb, on, upon, previous, upper",1
商店,shāng diàn,"shop, store",1
上午,shàng wǔ,morning,1
少,shǎo,"few, little",1
谁,shéi,who,1
什么,shén me,what,1
十,shí,10,1
是,shì,"is, to be",1
时候,shí hou,"time, moment, period",1
书,shū,book,1
水,shuǐ,Water,1
水果,shuǐ guǒ,fruit,1
睡觉,shuì jiào,"to sleep, to go to bed",1
说话,shuō huà,"to speak, to talk, to gossip",1
四,sì,4,1
岁,suì,"Measure, ""years old""",1
他,tā,he,1
她,tā,she,1
太,tài,"too, extremely",1
天气,tiān qì,weather,1
听,tīng,"to listen, to hear, to obey Measure, for canned beverages",1
同学,tóng xué,classmate,1
喂,wèi,"to feed, to breed, hello",1
我,wǒ,I,1
我们,wǒ men,we,1
五,wǔ,5,1
喜欢,xǐ huan,to like,1
下,xià,"descend, fall Measure, for times of action, below, down, under",1
下午,xià wǔ,afternoon,1
下雨,xià yǔ,to rain,1
先生,xiān sheng,"Mister (Mr.), teacher",1
现在,xiàn zài,now,1
想,xiǎng,"to think, to miss Auxiliary, to want",1
小,xiǎo,small,1
小姐,xiǎo jiě,"Miss, young lady",1
写,xiě,to write,1
些,xiē,"Measure, some, few, several",1
谢谢,xiè xie,thanks!,1
星期,xīng qī,week,1
学生,xué sheng,"student, pupil",1
